"county_id","e","n","name","grid_id","wgs84_lat","wgs84_long"
"1","357111","173970","Avon","1","51.463067","-2.618760"
"2","506599","243811","Bedfordshire","1","52.082401","-0.445778"
"3","467185","174604","Berkshire","1","51.466427","-1.034214"
"4","481908","215532","Buckinghamshire","1","51.832405","-0.812738"
"5","537875","277717","Cambridgeshire","1","52.380141","0.024184"
"6","267015","702266","Central","1","56.194374","-4.144753"
"7","361634","370146","Cheshire","1","53.226962","-2.576147"
"8","454133","522310","Cleveland","1","54.593086","-1.163743"
"9","318625","354455","Clwyd","1","53.081093","-3.216274"
"10","175889","65687","Cornwall","1","50.448118","-5.158114"
"11","339034","520032","Cumbria","1","54.571813","-2.944546"
"12","425253","355142","Derbyshire","1","53.092894","-1.624363"
"13","272784","92706","Devon","1","50.720015","-3.803525"
"14","382464","98014","Dorset","1","50.781433","-2.250101"
"15","264619","570764","Dumfries and Galloway","1","55.012952","-4.118686"
"16","415166","531771","Durham","1","54.680771","-1.766304"
"17","224595","236520","Dyfed","1","51.999340","-4.556544"
"18","561112","119525","East Sussex","1","50.952643","0.292389"
"19","584712","211648","Essex","1","51.773022","0.675840"
"20","329365","703574","Fife","1","56.219469","-3.140603"
"21","387059","214543","Gloucestershire","1","51.829350","-2.189191"
"22","355136","822696","Grampian","1","57.292656","-2.746010"
"23","533221","178613","Greater London","1","51.490777","-0.082497"
"24","378565","401204","Greater Manchester","1","53.507082","-2.324659"
"25","367632","-35443","Guernsey","1","49.580582","-2.449075"
"26","334157","205022","Gwent","1","51.740017","-2.954973"
"27","252845","350834","Gwynedd","1","53.034484","-4.196014"
"28","447185","122198","Hampshire","1","50.997248","-1.328988"
"29","368470","250390","Hereford and Worcester","1","52.150886","-2.462237"
"30","521203","215906","Hertfordshire","1","51.828631","-0.242592"
"31","202961","841862","Highland","1","57.424251","-5.283287"
"32","498535","431350","Humberside","1","53.769183","-0.506517"
"33","231210","480798","Isle of Man","1","54.195079","-4.588808"
"34","446500","87567","Isle of Wight","1","50.685906","-1.343134"
"35","389595","-58366","Jersey","1","49.375180","-2.144652"
"36","590311","154644","Kent","1","51.259187","0.726140"
"37","358100","440831","Lancashire","1","53.861996","-2.638575"
"38","468743","309351","Leicestershire","1","52.677509","-0.984684"
"39","517306","361905","Lincolnshire","1","53.141390","-0.247739"
"40","332116","668854","Lothian","1","55.907982","-3.087434"
"41","339203","399201","Merseyside","1","53.485995","-2.917700"
"42","300404","192450","Mid Glamorgan","1","51.622027","-3.440072"
"43","598275","312003","Norfolk","1","52.669456","0.930932"
"44","443458","468652","North Yorkshire","1","54.111916","-1.336746"
"45","479320","270157","Northamptonshire","1","52.323788","-0.837605"
"46","397208","600117","Northumberland","1","55.295156","-2.045515"
"47","467568","362159","Nottinghamshire","1","53.152291","-0.991092"
"48","347765","1017397","Orkney Islands","1","59.040378","-2.911985"
"49","449539","211145","Oxfordshire","1","51.796767","-1.283057"
"50","303612","268517","Powys","1","52.306280","-3.415123"
"51","353023","630304","Scottish Borders","1","55.564137","-2.746408"
"52","436044","1154775","Shetland","1","60.275580","-1.350190"
"53","349835","306960","Shropshire","1","52.658030","-2.743072"
"54","330827","134121","Somerset","1","51.102200","-2.989329"
"55","308627","175135","South Glamorgan","1","51.467780","-3.316823"
"56","444215","399011","South Yorkshire","1","53.485964","-1.335138"
"57","400063","325931","Staffordshire","1","52.830902","-2.000507"
"58","202917","668883","Strathclyde","1","55.872686","-5.151733"
"59","607053","264873","Suffolk","1","52.243078","1.031339"
"60","513607","153781","Surrey","1","51.271865","-0.372814"
"61","305567","741754","Tayside","1","56.558227","-3.537982"
"62","427011","561778","Tyne and Wear","1","54.949927","-1.579813"
"63","428888","266974","Warwickshire","1","52.300135","-1.577796"
"64","264572","197105","West Glamorgan","1","51.656369","-3.959189"
"65","409818","289577","West Midlands","1","52.504005","-1.856790"
"66","504994","115720","West Sussex","1","50.931384","-0.507295"
"67","424161","429697","West Yorkshire","1","53.763070","-1.634976"
"68","96550","894037","Western Isles","1","57.832556","-7.114352"
"69","406528","160924","Wiltshire","1","51.347361","-1.907656"
"70","280902","162635","Carlow","2","52.708981","-6.804135"
"71","238231","308825","Cavan","2","54.027111","-7.417788"
"72","124908","179982","Clare","2","52.865637","-9.116119"
"73","125262","62902","Cork","2","51.813737","-9.084800"
"74","204254","411063","Donegal","2","54.946933","-7.934804"
"75","316512","241026","Dublin","2","53.406554","-6.249184"
"76","114841","234371","Galway","2","53.352721","-9.279994"
"77","90224","98992","Kerry","2","52.132171","-9.604224"
"78","278404","215603","Kildare","2","53.185199","-6.828301"
"79","252307","144490","Kilkenny","2","52.549454","-7.230021"
"80","245468","193740","Laois","2","52.992590","-7.324013"
"81","200564","319729","Leitrim","2","54.126478","-7.992531"
"82","152304","140734","Limerick","2","52.516109","-8.703677"
"83","219960","277802","Longford","2","53.749424","-7.698588"
"84","305260","297860","Louth","2","53.919342","-6.399073"
"85","105930","302891","Mayo","2","53.966639","-9.434525"
"86","279916","267051","Meath","2","53.647127","-6.792672"
"87","268318","322935","Monaghan","2","54.150754","-6.955579"
"88","290230","374728","Northern Ireland","2","54.612523","-6.604633"
"89","227777","212940","Offaly","2","53.166310","-7.585805"
"90","180253","272047","Roscommon","2","53.697720","-8.300103"
"91","159008","328803","Sligo","2","54.206352","-8.629363"
"92","203221","158312","Tipperary","2","52.676153","-7.953487"
"93","231629","100463","Waterford","2","52.155407","-7.538962"
"94","233469","256241","Westmeath","2","53.555027","-7.496137"
"95","295330","128710","Wexford","2","52.401872","-6.600463"
"96","308103","190411","Wicklow","2","52.953733","-6.392655"
